person,condition,exchange
"Oscar, Knight of Astora",Answer 'Yes'(NG),"...Regrettably, I have failed in my mission... But perhaps you can keep the torch lit... There is an old saying in my family... Thou who art Undead, art chosen... In thine exodus from the Undead Asylum, maketh pilgrimage to the land of Ancient Lords... When thou ringeth the Bell of Awakening, the fate of the Undead thou shalt know... Well, now you know... And I can die with hope in my heart... Oh, one more thing... Here, take this... An Estus Flask, an Undead favourite... Oh, and this..."
"Oscar, Knight of Astora",Answer 'Yes'(NG+),"...Regrettably, I have failed in my mission... But perhaps you can keep the torch lit... There is an old saying in my family... Thou who art Undead, art chosen... In thine exodus from the Undead Asylum, maketh pilgrimage to the land of Ancient Lords... When thou ringeth the Bell of Awakening, the fate of the Undead thou shalt know... Well, now you know... And I can die with hope in my heart... Oh, one more thing... Here, take this."
"Oscar, Knight of Astora",Answer 'No',"...Yes, I see... Perhaps I was too hopeful... Hah hah... Please, leave me be... I have not long to live, and I may harm you after death... Now, go..."
"Oscar, Knight of Astora",Talk,"...Now I must bid farewell... I would hate to harm you after death... So, go now... And thank you..."
"Oscar, Knight of Astora",Killing him,Hrggkt... But... Why...
Oswald of Carim,Introduction,"Greetings. I am Oswald of Carim, the pardoner. Thou art a friend. For thee, a warm welcome. Cometh thou to confess? Or to accuse? For indeed all sin is my domain."
Oswald of Carim,Leaving,Thou art welcome anytime. It is only human to commit a sin... Heh heh heh heh...
Oswald of Carim,Greetings x1,"Greetings, and welcome back. I am pleased to see thee preserving thine humanity."
Oswald of Carim,Greetings x2,"Thou appearest to lack faith, but the Gods are magnanimous. If thou desireth to preserve thine humanity, then confess thy misdoings to me. Be it granting absolution or doling penance; all sin is my domain."
Oswald of Carim,Greetings x3,"Greetings, and a pleasure to see thee again. Art thou in need of mine assistance? Do not be bashful."
Oswald of Carim,Greeting when player has sinned,"Good tidings, thou art welcome. Laudable is thy dedication to sin."
Oswald of Carim,Talk x1,"Hmm... Hast thou acquaintance with Petrus of Thorolund? I wager you two hath likely found much in common. For, is he not, too, drenched in sin? Heh heh heh heh..."
Oswald of Carim,Leaving after purchasing an Indictment,Stocking up on Indictments? How honorable of you! Heh heh heh heh...
Oswald of Carim,When attacked,"Thou hast made thyself clear. And thou leaveth me no choice. I shall accept thy next confession, in the hereafter!"
Oswald of Carim,Killing the player,"Much trouble hast thou caus'd. Thou was weak in spirit, broken by the weight of thy sin."
Oswald of Carim,Killing Him,Thou shalt regret this... Fear thine indelible wrongdoings...
Patches,Introduction 1* (In Catacombs or Tomb of the Giants),Good day! You look reasonably sane! What are you doing in the Catacombs? Are you a cleric or something?
Patches,"Answering ""Yes""(In the Catacombs)","Yes, I imagined as much. Best of luck with your pilgrimages or missions or whatever you do. This place is treacherous. Do watch your step, eh? Heh heh heh..."
Patches,"Answering ""Yes""(In Tomb of the Giants)","Yes, I guessed as much. Well, here's a tip. There's a stash of treasure right down that hole. I found it first, but... well, you're the cleric, right? I owe you for all that, er, praying and what not... I'll give you first pick. Well, go on, have a look. It'll shimmer you blind. Heh heh heh..."
Patches,"Answering ""No""(In the Catacombs)","No? Well, that's strange. Ohhh, I know what it is. You've come for the trinkets, haven't you? Well, whatever it is... This place is treacherous. Do watch your step. Heh heh heh..."
Patches,"Answering ""No""(In Tomb of the Giants)","No? Really? Then I have no qualms telling you. There's a fine stash of treasure right down that hole! I found it first, but we're friends now! Go on, take a peak. It'll shimmer you blind! Heh heh heh..."
Patches,Introduction 2**(In the Catacombs),"Ah, oh! Well, well, how are you, then? I, uh, sort of lost my way, yes... But when I came here I didn't touch any levers, no, not me! Very peculiar, isn't it? Wait, did something happen to you? Hey, don't look at me like that. I'm Trusty Patches, the one-and-only! Here, everything's good with us, eh? Aww, c'mon, take it! (Gives the player 1 Soul of a Lost Undead)Heh heh. We'll be wonderful friends. Heh heh heh..."
Patches,Speaking again after Introduction 2,"Oh, does it really matter that much? C'mon, now. What exactly do you think I did? You're not making sense, my friend. Heh heh heh..."
Patches,After Patches flips the bridge with the player on it,"Ah, oh! Well, how are you, then? ...I slipped and flipped that lever, you see... ...It didn't cause you any trouble, by chance?"
Patches,"Answering ""Yes""",(He will give the player 1 Humanity)
Patches,"Answering ""No""","Oh, really? Yes, I see... Righty-oh! Then everything's good, isn't it? I'm Trusty Patches, the one-and-only! You and I, just a couple of Undead Outcasts, right mate? Heh heh heh..."
Patches,Greetings in Tomb of the Giants if met in the Catacombs,"What, you again? Well, well! You've been a stranger. Ah good to see you're well, mate. Oh, right, you came at the perfect time. There's a fine stash of treasure right down that hole. I found it first, but... well, we're friends now. I'll split it with you! In any case, have a look, it'll shimmer you blind! Heh heh heh..."
Patches,Speaking to him before looking down the hole,"There, that hole. Take a closer look."
Patches,"Kicking the player down the hole(If answered ""No"" to being a cleric)","Heh heh, this is what I do, my friend. The trinkets I'll be stripping off your corpse; that's the real treasure! Nyah hah hah hah!"
Patches,"Kicking the player down the hole(If answered ""Yes"" to being a cleric)","Heh heh, you got what you deserve! You damn clerics, you're worse than maggots! You must be loaded! I'll strip your corpse clean! Nyah hah hah hah!"
Patches,"Speaking to him after returning from the hole(If answered ""Yes"" to being a cleric)","Blimey, how did you... You weren't supposed to survive that... Well, no matter. I'll settle this once and for all. You lousy self-righteous cleric!"
Patches,"Killing the player(If answered ""Yes"" to being a cleric)","Phew... The righteous prevail, again... Hey, don't blame me, mate."
Patches,"Speaking to him after returning from the hole(If answered ""No"" to being a cleric)","...Oh, you, I... Well, let's just calm down. Talk about things... I did you wrong. But, I didn't mean it. These...temptations, they can, well, overcome me... You know what I mean? Don't you? Please forgive me. You and me, we're jolly Undead outcasts, aren't we?"
Patches,"Answering ""Yes""","Oh, brilliant! A second chance! Wonderful! I had a feeling you'd understand, I did! But if I were in your shoes... Ooh! Who know what I'd have done? But now... We're friends again, eh? Heh heh heh..."
Patches,"Answering ""No""","Oh for heaven's sake, let's not mope about, eh? You're still alive, I've said I'm sorry! Wait, I know! Here, take this. It proves something, doesn't it? (He will give the player 1 Twin Humanities)"
Patches,Speaking to him before he goes to Firelink,"I did you wrong. But, I didn't mean it. These...temptations, they can overcome me... You know what I mean? Don't you? Please, forgive me."
Patches,Finding him at Firelink,"Oh, we meet again. How many of you are there? You've come at the perfect time. I'm done with the looting. I'm a humble merchant now! And wondrous treasure, have I! At a special price for you. There you are, have a nice look at them. Oh relax, no more funny business out of me, my friend!"
Patches,Talk x1,"Oi, have you met Petrus, that self-proclaimed cleric? Believe me this one, bruv†... The man is scum. Don't you be fooled by his claims to do good. They're all the same, those rotten clerics."
Patches,Talk x2,"Oi, have you met Lautrec the Embraced? Believe me on this one, bruv†...He's completely mad. He wouldn't think twice about cutting somebody down. So watch out for him, especially if you've humanity to spare."
Patches,Talk x3,"Here, have you met that sunbathing Solaire? Believe me on this one, bruv†...He's a complete idiot. But he happens to be an awfully strong idiot. Just nod your head and keep him on your side! Nyah hah hah hah!"
Patches,Talk x4,"Here, have you met that backwood Shiva? Believe me on this one, bruv†...The man is trouble. I can see it in his eyes. I just can. Hmph, no doubt about it. Watch him."
Patches,Greetings x1 as a merchant,"Oh, there you are again. Welcome to Trust Patches' Trove of Treasures. We chop prices, not limbs!"
Patches,Greetings x2 as a merchant,"Oh, you again. Fancy that. You've come at the perfect time. Some new gems have come my way. I saved them specially, just for you, mate."
Patches,Leaving after making a purchase,"Right, good stuff, eh? Don't you forget who got it for you! Heh heh heh..."
Patches,Leaving without making a purchase,"Come on, you can do better than that. Nobody likes a tightwad, you hear me?"
Patches,Attacking him,"Curses, what's wrong with you! Well, if that's what it has to be! Why you..."
Patches,Killing the player,"What happened to you? Curses, you left me no choice..."
Patches,Killing him,Curses! How in the... What did I do? What... did... I... do?!
Petrus of Thorolund,Introduction,"Hello there. I believe we are not acquainted? I am Petrus of Thorolund. Have you business with us? ...If not, I'd prefer to keep a distance, if possible."
Petrus of Thorolund,Speaking to him again,"Hello there. I realize that I have requested that we retain our distance, but I also want you to know that it is not meant in ill-will. Here, take this. As a token of peace. No, go ahead. It's for you. (Petrus will give the player a Copper Coin.)"
Petrus of Thorolund,Speaking to him a 3rd time,"Oh, my... you again? Oh, I know. How about this... I have to await my companions here anyway, so, what if I were to teach you some miracles? Would that please you?"
Petrus of Thorolund,"Answering ""Yes""","Very well. Then first, a Covenant with the Gods."
Petrus of Thorolund,"Answering ""No""",That is a shame. But each to their own. Speak to me if you have a change of heart.
Petrus of Thorolund,Joining covenant,"Now, let me share my Miracles. Only, their ultimate effectiveness will be determined by your efforts, and your faith."
Petrus of Thorolund,Not joining covenant,That is a shame. But each to their own. Speak to me if you have a change of heart.
Petrus of Thorolund,Talk x1,"My companions are M'lady and her young knights. She is young, but burdened by an Undead mission. We are her defenses, to keep her from harm."
Petrus of Thorolund,Talk x2,"An Undead mission? Regrettably, I cannot share that with you. But you are my pupil, perhaps if you show your faith...(Petrus will now request souls for information.)"
Petrus of Thorolund,Giving him the souls,"Very well. I can surely tell you, of all people... Undead clerics are given a mission to seek Kindling. Kindling is the art of feeding bonfires with humanity. Through Kindling, we shall one day be granted magnificent powers."
Petrus of Thorolund,Refusing him the souls,I am afraid that may be difficult. For our missions are sacred.
Petrus of Thorolund,Leaving,Come again. The effectiveness of the teachings depend upon your faith.
Petrus of Thorolund,Greetings,"Oh, hello. I will teach you Miracles. A promise is a promise, after all."
Petrus of Thorolund,Greetings after his guests arrive,"Oh, hello. My guests have finally arrived. I will be departing with them shortly. So, I'm afraid I will be saying good-bye soon. It was a pleasure."
Petrus of Thorolund,"Talk x3(after Reah, Vince, and Nico arrive)",Reah is the youngest daughter of the good house of Thorolund. Those young knights are her old schoolmates. But I'm not sure what to make of them... I'm afraid they may be a bad influence...
Petrus of Thorolund,"Greetings after Reah, Vince, and Nico leave","Uh, oh, you again? Me? Er, I've become separated from M'lady. I've scoured near and far, but no sight of her... Where could she have gone? M'lady... To think I swore to protect you with my life... (Petrus will not teach Miracles until speaking to him 2 more times)"
Petrus of Thorolund,Speaking with him again,"Your Highness... where have you gone? I am entirely to blame for this... Oh woe is me. I am unworthy, deathly so..."
Petrus of Thorolund,Speaking with him a 3rd time,"Oh, I'm sorry. Miracles, was it? ...Sometimes I lose myself; pay me no mind!"
Petrus of Thorolund,Greetings after Reah is rescued in Tomb of the Giants,"Ah, oh, you. Have you seen M'lady? Oh, blast, where might she be, and would she be safe..."
Petrus of Thorolund,Greetings after buying information from Lautrec,"Oh, hello there. Have you spoken with Sir Lautrec? Splendid. In the depths of the Catacombs, M'lady slipped off the giant's coffin and into a hole. Her two companions are no longer human; and the lass weeps in solitude. Right now, you could do as you please with her. The poor little purebred is entirely helpless. Keh heh heh heh..."
Petrus of Thorolund,Greetings after speaking to Reah in Undead Parish,"...Oh it's you... ...You rescued M'lady? Well, a pity that is, for it will amount to nothing. For the little madam is not worth her salt without her family name. Keh heh heh heh......"
Petrus of Thorolund,Attacking him,"By the Lords! You damn fool! Enough of you, feel the wrath of the Gods!"
Petrus of Thorolund,Being killed by him,"Fool...What were you thinking? Too bad for you, I'm a wolf in sheep's clothing. Best of luck as a Hollow! Gah hah hah hah hah!"
Petrus of Thorolund,Killing Him,N... no... this can't be... It can't end like this...
Quelana of Izalith,First meeting,"Hmm... A mere Undead, yet you can see me? Fascinating... I am Quelana of Izalith. I am not often revealed to walkers of flesh. You have a gift. Are you, too, one who seeks my pyromancy? Like Salaman?"
Quelana of Izalith,Answering 'Yes',"Yes, of course. It should be expected. Very well. You shall be my pupil. But to pursue my pyromancy, you must give something up. Are you prepared to do this?"
Quelana of Izalith,Answering 'No',What? Considering my pyromancy?
Quelana of Izalith,Answering 'No' again,"Hmm, very well. Then we are done. You have spoken. Now away with you."
Quelana of Izalith,Talk 1x,"Long ago, I accepted another pupil, like yourself. Over two-hundred years ago there was a man, almost as bungling as you... In your world he was called Salaman the Master Pyromancer. The little rascal really made something of himself."
Quelana of Izalith,Talk x2,"Pyromancy is the art of invoking and manipulating fire. But remember one thing. Always fear the flame, lest you be devoured by it, and lose yourself. I would hate to see that happen again..."
Quelana of Izalith,Farewell,"Now, go. Whatever you do, do not crack and go Hollow. Lest my time spent on you be wasted."
Quelana of Izalith,Greeting,"Ah, there you are. I was expecting you. Let us begin."
Quelana of Izalith,Farewell without buying a pyromancy,"No luck, hm... Well young pupil, you must have patience. But do not keep me waiting much longer."
Quelana of Izalith,Greeting x2,"Ah, you again. I applaud your diligence."
Quelana of Izalith,Greeting after leaving Blighttown,"Ah, it has been some time. Truth be told, I thought you had perished."
Quelana of Izalith,Talk x3,"The Witch of Izalith? Please do not speak of her. I abandoned my mother and sisters and fled to this land. Now I roam these parts, feigning ablution, and pretending to seek answers."
Quelana of Izalith,Talk x4,"Hmm... I have a favour to ask... My mother, The Witch of Izalith, was one of the primeval Lords... Her power came from the soul that she found near the First Flame....She focused this power to light a flame of her own, but she failed to control it. The Flame of Chaos engulfed Mother and my sisters, and moulded them into deformed creatures. Only I escaped, and now I am here. But my mother and sisters have been in anguish since. I beseech you. Free Mother and my sisters from the Flame of Chaos. I cannot do it myself; I lack the strength, and the bravery... But you... I realize what I am asking. But please, free their poor souls... Mother's ambitions were misguided, no doubt, but surely a thousand years of atonement is enough!"
Quelana of Izalith,After killing the Bed of Chaos,"Outstanding... You have done very well. Thank you, I am blessed to have met you. I suppose I can call you fool no longer. I can hardly thank you enough. Please take this... It is all of me."
Quelana of Izalith,Talk after killing the Bed of Chaos,"Ah, very well. There is nothing left for me to teach you. Our time together is done. It was short, but sweet."
Quelana of Izalith,Talk after killing the Bed of Chaos x2,Fool. Hurry along. I can do nothing more for you.
Quelana of Izalith,Leaving without buying a Pyromancy after killing the Bed of Chaos,"No luck, hmm... Do not let it bother you."
Quelana of Izalith,Attacking,Hmm... The voice of reason fails? Then here is a lesson for you... That you can only learn once!
Quelana of Izalith,Killing,"Farewell, my mother, my sisters... What have you done..."
Reah of Thorolund,Introduction,"You are Undead, as well? Then we've no time to fraternize. I have my mission, and you no doubt have yours. We must not let this curse overcome us."
Reah of Thorolund,Speaking with her at Firelink,Did I not explain the urgency of our tasks? Who are you so uncouth as to lack such judgement? By the looks of you...I should think not.
Reah of Thorolund,Finding her in Tomb of the Giants,"You're no Hollow, are you? Thank goodness. Please be careful. There are two fierce Hollows not far from here. They were once brave knights... my former escorts. Who would let such strong spirits be Hollowed so? Heavens... Is there nothing... Nothing at all to be done."
Reah of Thorolund,Speaking to her after killing Hollowed Vince and Nico,"You banished those two Hollows did you? It pains me to think of the trouble my failings have caused. I am certain both Vince and Nico are grateful to you. Thank you so very much. Here, these belonged to them. You deserve them more than I."
Reah of Thorolund,Speaking to her in Undead Parish,"Hello... I will never forget what you did. I am deeply indebted, for it was not within my power to save Vince or Nico. I cannot thank you enough. In case you have not heard, I am Reah of Thorolund. I only wish there were some way I could help you, but I am inexperienced, and I only know the art of Miracles. If that could be of any help, speak to me again."
Reah of Thorolund,Speaking to her again,"Would a Miracle be of any help to you? I would be most pleased if that were so. May we discuss Miracles, then?"
Reah of Thorolund,Talk x1,"Vince and Nico were fooled by a lout named Patches, and turned into Hollows. My prayers did them no good. It is my ignorance, my frailty that has sealed their fates. Perhaps Petrus realized my weakness all along, and thus made the decision to abandon me. I can hardly blame him now."
Reah of Thorolund,Talk x2,"I do not warm easily to unfamiliar faces. The bonfire below is so frequented, it makes it difficult... I have lost all those who were close to me."
Reah of Thorolund,Greetings,"I was wondering when you might return. It is a great relief to see you. Now, let us speak of Miracles."
Reah of Thorolund,Farewell,"Then, be safe. Farewell. Vereor Nox."
Reah of Thorolund,Attacking her,"Ow! Horrors! The nerve! Are you a heretic, or just plain Hollow? It matters not, for you shall not escape! You will offend the Gods no longer!"
Reah of Thorolund,Killing her,Hrgkt! Eeg... Father...
Rickert of Vinheim,Introduction,"Hrm? Well, this is unusual. You haven't lost your head. And more importantly you're free. How on Earth... ...Well, I shouldn't pry. I am Rickert of Vinheim. I was once an established smith, but look at me now. Can you believe it?"
Rickert of Vinheim,Speaking with him again,"Hm? What is it? Have you...Oh, no, don't worry. I've no intention of escape. It's safe here. I can't bear the thought of going Hollow out there. Although, I must admit, I've not much to occupy myself. How about this? I could forge your weapons, albeit with rather minimal tools. I will show you what made me the best in Vinheim."
Rickert of Vinheim,Talk ×1,"Hm? What is it? There's nothing to talk about. We're both cursed; Undead. But what's there, really, to moan about?"
Rickert of Vinheim,Talk ×2,"Old Big Hat? Of course I've heard of him. Who hasn't in Vinheim? He was a royal member of Dragon School, until he turned Undead. I hear he was quite the character...Only, that was a hundred years ago. What interest have you in the old eccentric now?"
Rickert of Vinheim,Talk ×3,"Sorcery? Don't ask me how it actually works. We only fiddle and forge, until it works itself in. That's how we do it in Vinheim, at least. We prefer to leave the theorizing to those uppity scholars."
Rickert of Vinheim,Farewell without purchase,Come back soon. Smithing helps soothe my nerves. Don't let me wither away out of idleness!
Rickert of Vinheim,Farewell after making a purchase,"Good-bye, then. Keep your head on, out there. You really help break the monotony."
Rickert of Vinheim,Bringing him an ember he can't use,"Hey, hang on... Is that an ember? Oh, no, I'm sorry. We of Vinheim don't deal in shoddy embers like that. Perhaps you should try an old smith out in the country."
Rickert of Vinheim,Greetings,"Oh, hello. What weapons have you brought? Go on; show me."
Rickert of Vinheim,Bringing him Large Magic Ember,"Hey, hang on... That's a sorcery ember...isn't it? Yes, it certainly is... The first I've seen since my banishment from Vinheim. What do you say, friend? Mind giving that to me? This is no-man's land. I'm the only one who could handle it anyway."
Rickert of Vinheim,Giving him the ember,"Yes, as you should! I won't disappoint you. I'm taskless no longer!"
Rickert of Vinheim,Refusing him the ember,"...Yes, I see. All right, fine. But I don't think you're really seeing things clearly."
Rickert of Vinheim,Bringing him Enchanted Ember,"Hey, hang on... Is that...a sorcery ember? I've never seen one like that, not even back in Vinheim. What a brilliant flame! Please, friend, let me have that. I am begging you. I am a craftsman of Vinheim. I'd go Hollow before I pass up a flame like that!"
Rickert of Vinheim,Giving him the ember,"Oh, really! You are wonderful! I will forge a Rickert masterpiece, just for you! A weapon to make a legend out of you..."
Rickert of Vinheim,Refusing him the ember,"...Fine. ...Fine, I won't bother you. It was wonderful if only to gaze upon. It takes me back to old times."
Rickert of Vinheim,Leaving abruptly,Hm? What's happened?
Rickert of Vinheim,Returning after leaving abruptly,"What was that about? Ahh, it doesn't matter."
Rickert of Vinheim,Attacking him,"What's got into you! Damn, you've gone Hollow, have you? Forget about it! I have nothing more to say. Be gone! Oh, go away! There's nothing here for you. Nothing at all."
Rickert of Vinheim,Killing him,No...impossible... Why didn't I see? ...You've gone Hollow...
Shiva of the East,Introduction,"I've heard all about you. I'm Shiva of the East, captain of the brigade. Let's teach you the clan basics now, as there is no time to chat in the midst of fighting. Except there's little in the form of rules, you hear? Fight and hunt as you like. Whoever's fastest gets the prey. That's the way we do it. Only... Don't forget what Alvina said. Traitors aren't given a second chance, for any reason. That's about it, then. Don't worry, it's a good old time, isn't it? Great to have you with us. Good hunting to you."
Shiva of the East,Speaking to him after speaking with his bodyguard,"Ah, did you notice that one? Sharp eyes! He's one of the clan. From the East, like myself. Always slinking in the shadows, but he's a tough one. You'll see what I mean. Hah hah hah hah!"
Shiva of the East,Speaking to him while in the forest,"Don't worry, now. You'll be called in soon enough. Hunters with patience score the best kills."
Shiva of the East,Speaking to him in Blighttown,"Hello again. Strange to meet away from the clan and the forest. But while you're here, how about some equipment? I love collecting these things, but I can only keep so many. And, you know, you are a friend. I'll sell them cheap."
Shiva of the East,Greetings in Blighttown,"We meet again. I have the equipment, if you have the need."
Shiva of the East,Farewell in Blighttown,I see you have a sharp eye for trinkets. Suits me fine. I'll be seeing you.
Shiva of the East,Attacking him,"Hrg! You have some guts, to turn on us! Have a look at my sword, for it's the last thing you'll see! Hiyaah!"
Shiva of the East,Being killed by him,You sick Hollow... Don't you ever come round again.
Shiva of the East,Killing him,You poor fool... You won't be able to run far enough...
Sieglinde of Catarina,Introduction after being rescued in Duke's Archives,"It was you who rescued me? Why, thank you. I am Sieglinde of Catarina. I don't know how I ended up in that crystal... It wasn't terrible in there, but I could hardly move. I must think of some way to repay you."
Sieglinde of Catarina,Speaking to her again in Duke's Archives,"Oh! Have you seen my father? You wouldn't miss him. A suit of armour, just like mine?"
Sieglinde of Catarina,"Answering ""Yes""","Thank goodness! I knew he was here somewhere. Well then, now I must find him. Thanks again, truly. Now if he'll just stay put, and keep out of trouble."
Sieglinde of Catarina,"Answering ""No""","Yes, I see... But if you should happen to bump into him, tell him that Sieglinde is on her way, and that he ought to just stay put. And again, thank you kindly."
Sieglinde of Catarina,Speaking to her at Firelink,"Oh, hello again. We're both managing quite well, aren't we? But I haven't found my father yet. Have you seen him?"
Sieglinde of Catarina,"Answering ""Yes""",Really! Then I must be off. I'm sorry he's caused you trouble... He has a knack for that. If he'd just stay put...
Sieglinde of Catarina,"Answering ""No""","Yes, I see. Well, I had to ask. I will continue searching a bit longer. Thank you so much."
Sieglinde of Catarina,Speaking at Firelink after saving Siegmeyer in Lost Izalith,"Well, hello again! I have finally located my father. All of your help was invaluable to us...Thank you so much. I was finally able to pass on my mother's last words."
Sieglinde of Catarina,Speaking again,"My father? He went on his final adventure. Don't worry, that's just the way he is. Undead or no. Sort of reassuring, really. If he goes Hollow, I'll just have to kill him again."
Sieglinde of Catarina,Speaking at Ash Lake,"My father...all Hollow now...has been subdued. He will cause no more trouble. It's finally over...I will return to Catarina. You assisted us both greatly. I can hardly return the favour, but please accept this. It's of no use to me now."
Sieglinde of Catarina,Speaking again,"Oh, father...dear father... (Sobbing)"
Sieglinde of Catarina,Attacking her,"What in the...! What the devil?! Yes, now I see. You are one of the bad ones. Then, there's only one thing to do with you."
Sieglinde of Catarina,Being killed by her,Rest assured. I will kill you as many times as it takes.
Sieglinde of Catarina,Killing her,"Oh, how can this be...! ...dear Father..."
Siegmeyer of Catarina,Speaking outside Sen's Fortress,Mmm... Hrmmmmm...
Siegmeyer of Catarina,Introduction outside Sen's Fortress,"Mmm...mmm... Mm! Oh-hoh! Forgive me. I was absorbed in thought. I am Siegmeyer of Catarina. Quite honestly, I have run flat up against a wall. Or, a gate, I should say. The thing just won't budge. No matter how long I wait. And, oh, have I waited! So, here I sit, in quite a pickle. Weighing my options, so to speak! Hah hah hah hah!"
Siegmeyer of Catarina,Speaking again outside Sen's Fortress,Still closed... Still closed... Mmm...
Siegmeyer of Catarina,Introduction inside Sen's Fortress,"Mmm...mmm... Mm! Oh-hoh! Forgive me. I was absorbed in thought. I am Siegmeyer of Catarina. Quite honestly, I have run flat up against a wall. ...Or, a ball, to be precise. ...I'm afraid I'm a bit too plump to be outrunning those things. So, here I sit, in quite a pickle. Weighing my options, so to speak! Hah hah hah hah!"
Siegmeyer of Catarina,Speaking again inside Sen's Fortress,"Perhaps I could try some rolling... Bah, no chance. My head would spin. Mmm..."
Siegmeyer of Catarina,Speaking inside Sen's Fortress if met outside,"Mmm...mmm... Mm! Oh-hoh! Ahh, where did you come from? Splendid news, I tell you. First, I hear a great roar. And, voila! The path is open. Just goes to show. Good things come to those who wait! Hah hah hah hah!"
Siegmeyer of Catarina,Speaking again inside if met outside,"Mm, mmm... Ah, so you see my plight? Yes, indeed, I have run up against a wall.... Or, a ball, to be precise.... I'm afraid I'm a bit too plump to be outrunning those things. So, here I sit, in quite a pickle. But who knows? Perhaps we'll have another development? Hah hah hah hah!"
Siegmeyer of Catarina,Speaking in Anor Londo,Mmm... Hrmmmmm... Whatever can be done?
Siegmeyer of Catarina,Speaking again in Anor Londo,"Ah, you again! Let me guess. Were you repelled by the Silver Knights? Aww, don't be ashamed. 'Tis the fate of vanguards like you and I. I'll think of something. We can overcome this together!"
Siegmeyer of Catarina,Speaking a third time in Anor Londo,"This is quite a fix... We'll need another three, no, maybe five more bodies... Hmm...Quite a fix indeed..."
Siegmeyer of Catarina,Speaking after defeating all Silver Knights in the next room,"Mmm...mmm... Mm! Oh-hoh! What's on your mind, friend? Wait! ...You defeated those monsters?! Fantastic... I am saved. This knight of Catarina hereby commends you! Take this, as a token of my gratitude. But be warned, gallantry entails great risks. Next time, give me a chance to come up with a plan."
Siegmeyer of Catarina,Speaking at Firelink,"Well! Fancy meeting you here. You did much for me up above. I am grateful. You know, I was thinking... The gates at the old fortress... Was that your doing?"
Siegmeyer of Catarina,"Answering ""Yes""","Yes! I knew it! It seemed like an unlikely coincidence. Well, am I fortunate! This knight of Catarina thanks you sincerely. Please take this, as a token of my gratitude."
Siegmeyer of Catarina,"Answering ""No""","Is that so? Hmm, no matter. Stranger things have happened. Sometimes one only has to give it some time."
Siegmeyer of Catarina,Speaking again at Firelink,There you are. I'll be heading down below shortly. There's nothing worthwhile up above. No worries! Adventuring is my life; I'm prepared for the worst. Hah hah hah hah!
Siegmeyer of Catarina,Speaking in Blighttown,Sng...sng... Zzzzzz...
Siegmeyer of Catarina,Speaking again in Blighttown,"Mm! Oh-hoh! Excuse me. I was absorbed in thought, I just drifted away. You see, I'm actually in a bit of a fix. I've made it this far, but I'm short on antitode moss for the trip back. ...By my knighthood, I am ashamed to ask... But can you spare a few scraps of moss?"
Siegmeyer of Catarina,"Answering ""Yes""","Fantastic! Thank you, a saint you are. This knight of Catarina expresses his deepest gratitude. I shall not forget this. Please, take this; a symbol of my appreciation. Well, our fates do seem entwined, don't they? Perhaps this, too, is the will of Lord Gwyn! Hah hah hah hah!"
Siegmeyer of Catarina,"Answering ""No""","Yes, I see... No need to worry! I'll be fine. I can make it without that silly moss. Think about it. Have I ever let a little hardship slow me down? Hah hah hah hah!"
Siegmeyer of Catarina,"Speaking again if answered ""No""","Mmm... Mm! Oh-hoh! What's on your mind, friend? You've brought moss, perchance?"
Siegmeyer of Catarina,Speaking a third time in Blighttown,The Poison Swamp... It's like quicksand in there... Mmm...
Siegmeyer of Catarina,Speaking in Lost Izalith,Sng...sng... Zzzzzz...
Siegmeyer of Catarina,Speaking again in Lost Izalith,"Mm! Oh-hoh! Excuse me. I was so absorbed in thought, I just drifted away. It must be the warmth. Well, what's on your mind? No, don't tell me. Those monsters making life difficult for you? You need not be ashamed. We are in the same boat. ...You know, I really have run up quite a debt to you. ...Perhaps the time has come... ..."
Siegmeyer of Catarina,Speaking if the player kills all the Chaos Eaters before Siegmeyer can fight,"...Oh, there you are. Wait! ...Did you defeat those dire creatures? Outstanding... You never fail to impress. Well, wonderful. This knight of Catarina thanks you. Take this, as a token of my gratitude. I feel like I'm always thanking you... I curse my own inability."
Siegmeyer of Catarina,Speaking a third time in Lost Izalith,"...Friend, I have an idea. A good one, really. ...I will rush those dire fiends, and you can slip away in the confusion. Please, friend, I owe you much more than this. By the honour of the knights of Catarina, allow me to assist you. And now, I go! Don't be slow!"
Siegmeyer of Catarina,Screams as he fights the Chaos Eaters,"Hrgrraaaaggh! Hiyaaaaaah! C'mon! Over here, you fiends! Perish, foul creatures! I am Siegmeyer of Catarina, and you shall feel my wrath!"
Siegmeyer of Catarina,Speaking if Siegmeyer survives the Chaos Eater fight,"Hng...hng... Why, you! Didn't you get away? Well, you've saved me, once again... Thank goodness... I'm exhausted... I think I'll have a rest. Don't you worry, the ground below me is my pillow. I'll recover shortly..."
Siegmeyer of Catarina,Attacking him,"Yeeg! Whoa! Wha! Why, are you...! That's your game, is it? Well, I'm certainly not backing down! By the honour of my knighthood!"
Siegmeyer of Catarina,Killing him,"Heavens, me... My dear little Lin..."
Snuggly the Crow,When approached,"[cawing] You, you. [cawing] Give me, warm. Give me, soft. [cawing]"
Snuggly the Crow,Dropping something that can't be traded,"No, [cawing] no. That, no. [cawing] That no warm. That no soft. [cawing]"
Snuggly the Crow,Dropping something that's already been traded,"No, no. Not that one. [cawing] Enough, [cawing] enough."
